Benchmark,latency-Q1,memory
1,1428.418181818182,159.24008237398587,100,0.19607843,30.28125
2,1410.6893203883494,169.5825678507487,196,0.1979798,29.766666666666666
3,1421.7047619047619,169.7426439921061,292,0.19863945,29.901639344262296
4,1408.8867924528302,171.55732282002768,390,0.19897959,31.033333333333335
5,1374.5252525252524,170.07757314046225,486,0.19918033,29.901639344262296
6,1416.03,175.7871061960856,582,0.19897436,30.21311475409836
7,1428.2525252525252,179.89118893941244,678,0.19882698,30.21311475409836
8,1367.7551020408164,179.0747210184733,774,0.19897172,30.4
9,1413.381443298969,178.5101515452067,870,0.19908467,30.4
10,1396.2626262626263,173.7370573679606,966,0.19958678,29.766666666666666
Finale Results,1399.030303030303,171.00214767456055,998,0.1996,30.761904761904763

AVERAGES,1405,172,,0.998
